,Date,Open,High,Low,Close,Volume,MarketCap
0,"Mar 02, 2020",2.62,2.87,2.56,2.78,"149,189,528","1,954,591,313"
1,"Mar 01, 2020",2.75,2.83,2.59,2.62,"118,242,324","1,842,690,211"
2,"Feb 29, 2020",2.76,2.99,2.75,2.76,"148,892,177","1,935,866,746"
3,"Feb 28, 2020",2.79,2.91,2.65,2.76,"165,195,647","1,940,671,281"
4,"Feb 27, 2020",2.77,2.98,2.57,2.80,"275,767,947","1,964,176,570"
5,"Feb 26, 2020",2.80,2.97,2.54,2.77,"308,369,404","1,944,957,317"
6,"Feb 25, 2020",3.18,3.18,2.73,2.82,"220,934,560","1,977,735,060"
7,"Feb 24, 2020",3.51,3.52,2.99,3.18,"243,208,712","2,233,408,555"
8,"Feb 23, 2020",3.31,3.57,3.31,3.51,"201,953,498","2,465,440,669"
9,"Feb 22, 2020",3.49,3.52,3.25,3.31,"200,526,802","2,325,451,762"
10,"Feb 21, 2020",3.61,3.74,3.40,3.49,"198,998,663","2,444,935,167"
11,"Feb 20, 2020",3.56,3.87,3.48,3.61,"276,065,341","2,534,807,316"
12,"Feb 19, 2020",3.44,3.92,3.35,3.56,"266,619,604","2,494,966,418"
13,"Feb 18, 2020",3.15,3.52,3.10,3.45,"203,797,553","2,395,788,575"
14,"Feb 17, 2020",3.25,3.25,2.77,3.15,"236,951,007","2,188,241,816"
15,"Feb 16, 2020",3.19,3.29,2.80,3.25,"227,937,928","2,255,211,170"
16,"Feb 15, 2020",3.47,3.53,3.04,3.18,"194,773,545","2,209,226,319"
17,"Feb 14, 2020",3.12,3.54,3.05,3.47,"206,092,809","2,408,769,608"
18,"Feb 13, 2020",3.32,3.35,2.95,3.12,"243,665,848","2,165,340,245"
19,"Feb 12, 2020",2.90,3.61,2.90,3.32,"334,853,757","2,305,240,368"
20,"Feb 11, 2020",2.62,2.93,2.56,2.90,"144,827,946","2,011,451,187"
21,"Feb 10, 2020",2.64,2.74,2.48,2.62,"154,493,519","1,821,850,330"
22,"Feb 09, 2020",2.29,2.74,2.28,2.64,"196,340,341","1,835,944,549"
23,"Feb 08, 2020",2.19,2.31,2.03,2.29,"93,638,903","1,588,433,981"
24,"Feb 07, 2020",2.16,2.25,2.16,2.19,"93,382,410","1,523,249,146"
25,"Feb 06, 2020",2.14,2.25,2.12,2.16,"100,508,449","1,497,009,188"
26,"Feb 05, 2020",1.92,2.22,1.91,2.14,"111,859,155","1,486,335,955"
27,"Feb 04, 2020",2.00,2.03,1.89,1.92,"88,198,795","1,336,199,969"
28,"Feb 03, 2020",1.91,2.10,1.87,2.00,"112,154,610","1,391,386,055"
29,"Feb 02, 2020",1.74,1.98,1.70,1.91,"83,037,458","1,326,090,827"
30,"Feb 01, 2020",1.66,1.74,1.65,1.74,"37,226,254","1,209,947,862"
31,"Jan 31, 2020",1.68,1.72,1.65,1.66,"49,262,411","1,151,165,578"
32,"Jan 30, 2020",1.57,1.70,1.56,1.68,"54,565,714","1,164,729,726"
33,"Jan 29, 2020",1.55,1.68,1.54,1.57,"51,375,642","1,088,132,652"
34,"Jan 28, 2020",1.53,1.57,1.50,1.55,"47,120,502","1,076,031,418"
35,"Jan 27, 2020",1.52,1.54,1.49,1.53,"44,520,219","1,059,238,633"
36,"Jan 26, 2020",1.50,1.53,1.47,1.52,"43,363,397","1,057,063,607"
37,"Jan 25, 2020",1.52,1.52,1.47,1.50,"44,078,895","1,038,410,748"
38,"Jan 24, 2020",1.56,1.57,1.50,1.52,"48,576,603","1,053,322,115"
39,"Jan 23, 2020",1.59,1.62,1.50,1.55,"65,348,600","1,078,286,026"
40,"Jan 22, 2020",1.54,1.64,1.53,1.59,"47,055,144","1,105,004,314"
41,"Jan 21, 2020",1.59,1.61,1.50,1.53,"51,586,798","1,065,444,584"
42,"Jan 20, 2020",1.42,1.59,1.41,1.59,"60,224,151","1,102,454,966"
43,"Jan 19, 2020",1.49,1.52,1.37,1.42,"46,261,834","987,050,590"
44,"Jan 18, 2020",1.47,1.54,1.42,1.49,"49,645,136","1,033,489,226"
45,"Jan 17, 2020",1.49,1.53,1.44,1.48,"63,542,861","1,024,091,459"
46,"Jan 16, 2020",1.34,1.52,1.30,1.49,"67,302,241","1,037,213,520"
47,"Jan 15, 2020",1.33,1.40,1.30,1.34,"59,355,419","932,175,745"
48,"Jan 14, 2020",1.28,1.36,1.27,1.33,"53,074,477","924,801,443"
49,"Jan 13, 2020",1.31,1.31,1.27,1.28,"36,870,088","888,218,070"
50,"Jan 12, 2020",1.31,1.32,1.30,1.31,"30,492,207","909,993,423"
51,"Jan 11, 2020",1.31,1.35,1.30,1.31,"39,100,862","906,142,415"
52,"Jan 10, 2020",1.29,1.33,1.26,1.31,"41,884,562","906,795,252"
53,"Jan 09, 2020",1.33,1.37,1.27,1.29,"47,676,368","895,458,247"
54,"Jan 08, 2020",1.30,1.40,1.27,1.33,"49,431,499","925,780,956"
55,"Jan 07, 2020",1.31,1.33,1.26,1.30,"49,139,469","901,265,968"
56,"Jan 06, 2020",1.26,1.34,1.26,1.31,"43,088,423","906,258,204"
57,"Jan 05, 2020",1.26,1.30,1.25,1.26,"36,629,230","877,159,747"
58,"Jan 04, 2020",1.28,1.30,1.23,1.26,"38,156,086","876,029,669"
59,"Jan 03, 2020",1.24,1.31,1.24,1.28,"43,721,354","890,109,980"
60,"Jan 02, 2020",1.37,1.38,1.23,1.24,"37,676,355","861,516,905"
61,"Jan 01, 2020",1.35,1.37,1.32,1.37,"35,642,475","951,188,893"
62,"Dec 31, 2019",1.33,1.40,1.31,1.35,"42,638,601","938,725,945"
63,"Dec 30, 2019",1.31,1.36,1.30,1.33,"41,116,951","924,752,288"
64,"Dec 29, 2019",1.33,1.36,1.29,1.31,"45,413,699","911,327,054"
65,"Dec 28, 2019",1.38,1.39,1.33,1.33,"43,957,470","921,074,564"
66,"Dec 27, 2019",1.37,1.41,1.36,1.38,"38,176,059","960,368,527"
67,"Dec 26, 2019",1.41,1.43,1.35,1.37,"47,649,174","952,053,087"
68,"Dec 25, 2019",1.50,1.50,1.40,1.41,"40,558,090","981,628,328"
69,"Dec 24, 2019",1.52,1.54,1.49,1.50,"37,812,261","1,038,174,056"
70,"Dec 23, 2019",1.47,1.58,1.46,1.52,"56,083,425","1,054,365,471"
71,"Dec 22, 2019",1.48,1.53,1.45,1.47,"50,459,429","1,018,816,410"
72,"Dec 21, 2019",1.60,1.61,1.48,1.48,"49,226,920","1,026,339,209"
73,"Dec 20, 2019",1.51,1.60,1.49,1.60,"58,433,436","1,110,696,671"
74,"Dec 19, 2019",1.59,1.62,1.47,1.51,"62,825,585","1,051,017,023"
75,"Dec 18, 2019",1.54,1.62,1.45,1.60,"90,681,124","1,107,937,773"
76,"Dec 17, 2019",1.67,1.77,1.52,1.54,"92,967,379","1,017,781,983"
77,"Dec 16, 2019",1.68,1.71,1.61,1.67,"68,707,545","1,104,646,482"
78,"Dec 15, 2019",1.68,1.73,1.61,1.68,"67,968,594","1,108,106,235"
79,"Dec 14, 2019",1.77,1.78,1.63,1.68,"83,605,655","1,111,844,946"
80,"Dec 13, 2019",1.78,1.84,1.67,1.77,"119,493,566","1,167,096,419"
81,"Dec 12, 2019",1.58,1.78,1.52,1.77,"107,780,127","1,168,613,654"
82,"Dec 11, 2019",1.48,1.59,1.47,1.58,"71,607,317","1,040,689,360"
83,"Dec 10, 2019",1.56,1.56,1.40,1.48,"66,319,642","980,371,614"
84,"Dec 09, 2019",1.61,1.66,1.54,1.56,"63,051,414","1,029,562,424"
85,"Dec 08, 2019",1.45,1.62,1.45,1.61,"67,179,436","1,061,776,776"
86,"Dec 07, 2019",1.38,1.47,1.37,1.45,"49,917,913","955,874,241"
87,"Dec 06, 2019",1.30,1.42,1.28,1.38,"38,711,970","910,458,330"
88,"Dec 05, 2019",1.25,1.33,1.24,1.30,"32,086,367","858,014,128"
89,"Dec 04, 2019",1.29,1.32,1.25,1.25,"46,048,752","824,588,509"
90,"Dec 03, 2019",1.24,1.32,1.21,1.29,"41,462,224","853,213,342"
91,"Dec 02, 2019",1.25,1.26,1.20,1.24,"27,574,097","817,872,179"
92,"Dec 01, 2019",1.33,1.34,1.25,1.25,"24,127,567","828,296,390"
93,"Nov 30, 2019",1.31,1.37,1.31,1.33,"28,706,667","879,181,680"
94,"Nov 29, 2019",1.28,1.34,1.28,1.31,"32,270,224","867,085,098"
95,"Nov 28, 2019",1.26,1.35,1.22,1.28,"44,240,281","845,073,679"
96,"Nov 27, 2019",1.24,1.27,1.16,1.26,"47,723,271","829,672,736"
97,"Nov 26, 2019",1.24,1.28,1.23,1.24,"54,828,808","822,065,277"
98,"Nov 25, 2019",1.33,1.33,1.21,1.24,"64,954,006","815,688,075"
99,"Nov 24, 2019",1.40,1.42,1.31,1.34,"49,206,070","887,731,654"
100,"Nov 23, 2019",1.22,1.42,1.22,1.39,"123,832,790","920,735,790"
101,"Nov 22, 2019",1.21,1.28,1.08,1.22,"69,312,275","804,427,044"
102,"Nov 21, 2019",1.21,1.29,1.18,1.21,"53,020,027","800,257,863"
103,"Nov 20, 2019",1.22,1.25,1.17,1.21,"33,605,071","801,174,969"
104,"Nov 19, 2019",1.23,1.25,1.15,1.22,"35,796,763","805,231,584"
105,"Nov 18, 2019",1.16,1.26,1.16,1.23,"37,602,915","813,744,878"
106,"Nov 17, 2019",1.16,1.18,1.15,1.16,"22,483,167","767,707,353"
107,"Nov 16, 2019",1.17,1.18,1.16,1.16,"26,689,028","768,303,560"
108,"Nov 15, 2019",1.22,1.26,1.15,1.17,"32,203,363","773,992,543"
109,"Nov 14, 2019",1.13,1.30,1.11,1.22,"41,978,349","808,582,829"
110,"Nov 13, 2019",1.17,1.17,1.12,1.13,"23,410,839","746,750,215"
111,"Nov 12, 2019",1.18,1.20,1.15,1.17,"23,591,140","771,905,281"
112,"Nov 11, 2019",1.23,1.24,1.17,1.18,"25,012,739","776,358,941"
113,"Nov 10, 2019",1.25,1.25,1.19,1.23,"31,134,799","812,505,004"
114,"Nov 09, 2019",1.17,1.26,1.15,1.24,"34,760,712","819,630,519"
115,"Nov 08, 2019",1.22,1.28,1.12,1.17,"44,195,683","770,094,896"
116,"Nov 07, 2019",1.02,1.44,1.02,1.22,"92,805,360","805,246,128"
117,"Nov 06, 2019",0.927547,1.05,0.902417,1.02,"26,095,931","673,756,212"
118,"Nov 05, 2019",0.891802,0.929289,0.877752,0.927137,"13,420,498","612,256,490"
119,"Nov 04, 2019",0.868023,0.907127,0.864600,0.891802,"16,511,023","588,922,638"
120,"Nov 03, 2019",0.865785,0.874167,0.848911,0.868879,"11,444,717","573,784,519"
121,"Nov 02, 2019",0.878443,0.886302,0.857435,0.865528,"9,944,483","571,571,532"
122,"Nov 01, 2019",0.889461,0.891029,0.863507,0.877941,"12,684,201","579,768,933"
123,"Oct 31, 2019",0.914068,0.924062,0.873981,0.890512,"13,120,625","588,070,905"
124,"Oct 30, 2019",0.878168,0.969414,0.774601,0.914079,"23,084,998","603,633,344"
125,"Oct 29, 2019",0.871995,0.917937,0.825450,0.878892,"19,713,852","580,397,277"
126,"Oct 28, 2019",0.879748,0.928777,0.768318,0.875315,"24,337,121","578,034,790"
127,"Oct 27, 2019",0.836378,0.890216,0.688631,0.875154,"23,186,370","577,928,349"
128,"Oct 26, 2019",0.833823,0.926030,0.818766,0.831994,"20,293,463","549,426,804"
129,"Oct 25, 2019",0.767532,0.842798,0.762231,0.834757,"16,862,309","551,251,771"
130,"Oct 24, 2019",0.761316,0.780364,0.754028,0.768243,"14,425,427","507,327,662"
131,"Oct 23, 2019",0.838904,0.839336,0.755143,0.761316,"14,131,553","502,752,829"
132,"Oct 22, 2019",0.870816,0.879914,0.833186,0.838575,"11,567,380","553,772,790"
133,"Oct 21, 2019",0.877297,0.889119,0.866837,0.871432,"11,434,852","575,470,528"
134,"Oct 20, 2019",0.865450,0.884321,0.861892,0.877438,"9,297,806","579,437,174"
135,"Oct 19, 2019",0.879461,0.890271,0.861758,0.865266,"10,127,092","571,399,102"
136,"Oct 18, 2019",0.895843,0.898314,0.869977,0.877796,"10,666,948","579,673,087"
137,"Oct 17, 2019",0.876521,0.899669,0.872991,0.895843,"11,185,558","591,591,209"
138,"Oct 16, 2019",0.909666,0.913004,0.861378,0.876968,"12,766,002","579,126,752"
139,"Oct 15, 2019",0.939501,0.961195,0.902323,0.907378,"17,300,340","599,208,238"
140,"Oct 14, 2019",0.903695,0.942667,0.897807,0.941266,"16,242,661","621,587,341"
141,"Oct 13, 2019",0.893087,0.967000,0.886280,0.903695,"19,773,441","596,776,442"
142,"Oct 12, 2019",0.911203,0.921544,0.850423,0.893100,"19,332,567","589,779,872"
143,"Oct 11, 2019",0.913683,0.920685,0.885656,0.914116,"18,114,188","603,658,112"
144,"Oct 10, 2019",0.942845,0.944412,0.913233,0.915035,"24,538,307","604,264,912"
145,"Oct 09, 2019",0.899704,0.957093,0.894856,0.942926,"16,465,901","622,683,648"
146,"Oct 08, 2019",0.906241,0.915839,0.895083,0.899704,"18,299,070","594,140,600"
147,"Oct 07, 2019",0.875990,0.924249,0.867754,0.906686,"16,375,621","598,751,227"
148,"Oct 06, 2019",0.912324,0.913770,0.872431,0.876948,"12,691,818","579,113,086"
149,"Oct 05, 2019",0.923275,0.924122,0.902212,0.912535,"13,070,972","602,614,044"
150,"Oct 04, 2019",0.934931,0.935670,0.901729,0.923275,"14,953,450","609,706,365"
151,"Oct 03, 2019",0.943783,0.965669,0.917273,0.935255,"11,184,781","617,617,831"
152,"Oct 02, 2019",0.953811,0.953811,0.893671,0.943158,"17,174,252","622,836,475"
153,"Oct 01, 2019",0.904240,0.997532,0.898776,0.953637,"13,349,266","629,756,396"
154,"Sep 30, 2019",0.888097,0.918420,0.853907,0.903533,"15,800,572","596,669,068"
155,"Sep 29, 2019",0.893418,0.916808,0.869514,0.887902,"11,871,749","586,346,796"
156,"Sep 28, 2019",0.895378,0.916559,0.868757,0.893673,"9,062,006","590,158,131"
157,"Sep 27, 2019",0.850902,0.899908,0.824431,0.895409,"17,459,138","591,304,774"
158,"Sep 26, 2019",0.854433,0.913537,0.821401,0.851353,"12,848,761","562,210,845"
159,"Sep 25, 2019",0.889105,0.909275,0.818959,0.854977,"24,468,658","564,604,498"
160,"Sep 24, 2019",1.05,1.09,0.852477,0.892636,"25,188,778","589,473,410"
161,"Sep 23, 2019",1.05,1.14,1.02,1.05,"18,341,225","696,104,355"
162,"Sep 22, 2019",1.07,1.08,1.05,1.06,"8,594,941","696,868,198"
163,"Sep 21, 2019",1.06,1.08,1.06,1.07,"13,990,523","708,171,839"
164,"Sep 20, 2019",1.10,1.11,1.05,1.06,"14,160,437","701,240,151"
165,"Sep 19, 2019",1.09,1.12,1.03,1.10,"12,359,739","727,542,370"
166,"Sep 18, 2019",1.09,1.15,1.09,1.09,"11,962,787","720,294,110"
167,"Sep 17, 2019",1.00,1.10,0.997298,1.10,"10,580,481","723,533,677"
168,"Sep 16, 2019",1.00,1.01,0.985511,1.00,"7,211,469","662,162,197"
169,"Sep 15, 2019",1.00,1.02,0.988586,1.00,"9,925,484","662,384,863"
170,"Sep 14, 2019",0.977167,1.01,0.961925,1.00,"8,114,227","661,750,058"
171,"Sep 13, 2019",1.01,1.02,0.957123,0.975547,"9,376,392","644,225,711"
172,"Sep 12, 2019",1.01,1.02,0.993832,1.01,"9,235,470","666,508,432"
173,"Sep 11, 2019",1.02,1.03,0.994984,1.01,"8,953,230","664,542,321"
174,"Sep 10, 2019",1.04,1.04,1.02,1.02,"9,247,187","675,748,704"
175,"Sep 09, 2019",1.06,1.11,1.03,1.04,"11,308,139","687,583,237"
176,"Sep 08, 2019",1.03,1.08,1.02,1.07,"10,251,627","703,564,280"
177,"Sep 07, 2019",0.998955,1.04,0.977403,1.03,"13,451,858","679,683,395"
178,"Sep 06, 2019",1.01,1.03,0.993146,1.00,"11,010,600","660,508,589"
179,"Sep 05, 2019",1.03,1.04,1.00,1.01,"9,221,482","669,826,900"
180,"Sep 04, 2019",1.04,1.04,1.02,1.03,"8,758,988","682,146,976"
181,"Sep 03, 2019",1.06,1.07,1.03,1.04,"11,137,913","688,841,250"
182,"Sep 02, 2019",1.03,1.08,1.03,1.06,"9,758,386","697,810,467"
183,"Sep 01, 2019",1.05,1.06,1.01,1.03,"8,250,825","681,637,980"
184,"Aug 31, 2019",1.07,1.08,1.01,1.04,"10,847,063","687,684,125"
185,"Aug 30, 2019",0.998172,1.07,0.991567,1.06,"10,015,534","703,253,249"
186,"Aug 29, 2019",1.05,1.07,0.996188,0.998172,"14,710,732","659,166,382"
187,"Aug 28, 2019",1.13,1.13,1.04,1.05,"9,878,622","693,879,132"
188,"Aug 27, 2019",1.16,1.17,1.12,1.13,"8,137,996","745,097,752"
189,"Aug 26, 2019",1.14,1.18,1.13,1.16,"8,943,795","765,358,762"
190,"Aug 25, 2019",1.15,1.16,1.13,1.14,"7,996,369","754,098,350"
191,"Aug 24, 2019",1.17,1.18,1.12,1.15,"9,414,392","758,721,110"
192,"Aug 23, 2019",1.14,1.20,1.13,1.17,"9,906,828","772,431,594"
193,"Aug 22, 2019",1.12,1.15,1.10,1.14,"8,824,747","752,276,973"
194,"Aug 21, 2019",1.16,1.16,1.10,1.12,"11,809,364","738,442,909"
195,"Aug 20, 2019",1.21,1.22,1.16,1.16,"6,759,399","766,459,768"
196,"Aug 19, 2019",1.20,1.24,1.20,1.21,"7,024,532","801,513,726"
197,"Aug 18, 2019",1.19,1.24,1.18,1.20,"5,300,851","794,345,202"
198,"Aug 17, 2019",1.22,1.22,1.17,1.19,"4,859,686","787,218,715"
199,"Aug 16, 2019",1.22,1.23,1.14,1.22,"8,512,652","805,043,456"
200,"Aug 15, 2019",1.16,1.25,1.05,1.22,"13,913,968","807,752,353"
201,"Aug 14, 2019",1.26,1.28,1.15,1.16,"10,844,927","769,123,801"
202,"Aug 13, 2019",1.36,1.37,1.26,1.26,"10,432,675","829,436,539"
203,"Aug 12, 2019",1.38,1.39,1.36,1.36,"8,575,614","899,603,980"
204,"Aug 11, 2019",1.39,1.41,1.37,1.38,"8,402,166","908,558,771"
205,"Aug 10, 2019",1.43,1.44,1.36,1.39,"11,888,934","919,898,719"
206,"Aug 09, 2019",1.55,1.56,1.37,1.43,"23,985,476","946,513,275"
207,"Aug 08, 2019",1.35,1.73,1.34,1.55,"36,246,315","1,023,902,326"
208,"Aug 07, 2019",1.47,1.48,1.35,1.35,"11,480,552","892,389,418"
209,"Aug 06, 2019",1.46,1.60,1.37,1.47,"19,160,485","971,497,468"
210,"Aug 05, 2019",1.44,1.50,1.35,1.46,"12,705,167","964,815,639"
211,"Aug 04, 2019",1.43,1.49,1.40,1.44,"9,783,266","948,979,104"
212,"Aug 03, 2019",1.43,1.46,1.38,1.43,"9,722,877","942,911,870"
213,"Aug 02, 2019",1.41,1.47,1.37,1.43,"11,664,836","944,514,823"
214,"Aug 01, 2019",1.27,1.45,1.25,1.40,"12,828,552","927,016,196"
215,"Jul 31, 2019",1.22,1.29,1.21,1.27,"11,125,338","837,805,544"
216,"Jul 30, 2019",1.01,1.27,1.00,1.22,"14,364,108","806,101,102"
217,"Jul 29, 2019",1.02,1.04,1.01,1.01,"5,208,906","669,420,206"
218,"Jul 28, 2019",1.01,1.02,0.983322,1.01,"4,624,413","669,998,869"
219,"Jul 27, 2019",1.04,1.06,0.992433,1.02,"4,429,452","670,518,156"
220,"Jul 26, 2019",1.03,1.04,1.01,1.04,"4,974,709","687,105,991"
221,"Jul 25, 2019",1.01,1.06,0.999385,1.03,"4,803,954","680,344,534"
222,"Jul 24, 2019",1.07,1.13,0.984626,1.01,"9,097,802","666,746,465"
223,"Jul 23, 2019",1.12,1.12,1.00,1.07,"6,062,974","706,279,550"
224,"Jul 22, 2019",1.08,1.15,1.08,1.12,"7,020,084","739,797,133"
225,"Jul 21, 2019",1.04,1.16,0.982799,1.08,"7,885,431","710,469,524"
226,"Jul 20, 2019",0.980629,1.06,0.975963,1.04,"5,404,137","686,409,070"
